Periodo,Anio,Trimestre,Region,Categoria_Norm,Valor,Valor_Anterior,Valor_Trimestral
2016-Q1,2016,1,AND,HURTOS,26466.0,,26466.0
2016-Q2,2016,2,AND,HURTOS,55141.0,26466.0,28675.0
2016-Q3,2016,3,AND,HURTOS,84445.0,55141.0,29304.0
2016-Q4,2016,4,AND,HURTOS,109588.0,84445.0,25143.0
2017-Q1,2017,1,AND,HURTOS,25203.0,,25203.0
2017-Q2,2017,2,AND,HURTOS,51775.0,25203.0,26572.0
2017-Q3,2017,3,AND,HURTOS,79451.0,51775.0,27676.0
2017-Q4,2017,4,AND,HURTOS,103746.0,79451.0,24295.0
2018-Q1,2018,1,AND,HURTOS,22364.0,,22364.0
2018-Q2,2018,2,AND,HURTOS,46818.0,22364.0,24454.0
2018-Q3,2018,3,AND,HURTOS,71759.0,46818.0,24941.0
2018-Q4,2018,4,AND,HURTOS,93290.0,71759.0,21531.0
2019-Q1,2019,1,AND,HURTOS,21638.0,,21638.0
2019-Q2,2019,2,AND,HURTOS,44775.0,21638.0,23137.0
2019-Q3,2019,3,AND,HURTOS,69661.0,44775.0,24886.0
2019-Q4,2019,4,AND,HURTOS,91398.0,69661.0,21737.0
2020-Q1,2020,1,AND,HURTOS,18095.0,,18095.0
2020-Q2,2020,2,AND,HURTOS,26014.0,18095.0,7919.0
2020-Q3,2020,3,AND,HURTOS,43932.0,26014.0,17918.0
2020-Q4,2020,4,AND,HURTOS,57570.0,43932.0,13638.0
2021-Q1,2021,1,AND,HURTOS,13180.0,,13180.0
2021-Q2,2021,2,AND,HURTOS,29541.0,13180.0,16361.0
2021-Q3,2021,3,AND,HURTOS,49288.0,29541.0,19747.0
2021-Q4,2021,4,AND,HURTOS,68916.0,49288.0,19628.0
2022-Q1,2022,1,AND,HURTOS,20242.0,,20242.0
2022-Q2,2022,2,AND,HURTOS,42940.0,20242.0,22698.0
2022-Q3,2022,3,AND,HURTOS,67049.0,42940.0,24109.0
2022-Q4,2022,4,AND,HURTOS,89115.0,67049.0,22066.0
2023-Q1,2023,1,AND,HURTOS,23042.0,,23042.0
2023-Q2,2023,2,AND,HURTOS,47228.0,23042.0,24186.0
2023-Q3,2023,3,AND,HURTOS,72221.0,47228.0,24993.0
