Periodo,Año,Trimestre,Region,Categoria_Unificada,Valor_Trimestral
2016-Q1,2016,1,AND,HURTOS,26466.0
2016-Q1,2016,1,ESP,HURTOS,169129.0
2016-Q2,2016,2,AND,HURTOS,28675.0
2016-Q2,2016,2,ESP,HURTOS,179253.0
2016-Q3,2016,3,AND,HURTOS,29304.0
2016-Q3,2016,3,ESP,HURTOS,192471.0
2016-Q4,2016,4,AND,HURTOS,25143.0
2016-Q4,2016,4,ESP,HURTOS,171055.0
2017-Q1,2017,1,AND,DELITOS CONTRA LIBERTAD SEXUAL,516.0
2017-Q1,2017,1,AND,HURTOS,25203.0
2017-Q1,2017,1,AND,ROBOS CON FUERZA,6918.0
2017-Q1,2017,1,AND,ROBOS CON VIOLENCIA,1952.0
2017-Q1,2017,1,ESP,DELITOS CONTRA LIBERTAD SEXUAL,2667.0
2017-Q1,2017,1,ESP,HURTOS,168642.0
2017-Q1,2017,1,ESP,ROBOS CON FUERZA,39651.0
2017-Q1,2017,1,ESP,ROBOS CON VIOLENCIA,15622.0
2017-Q2,2017,2,AND,DELITOS CONTRA LIBERTAD SEXUAL,530.0
2017-Q2,2017,2,AND,HURTOS,26572.0
2017-Q2,2017,2,AND,ROBOS CON FUERZA,6097.0
2017-Q2,2017,2,AND,ROBOS CON VIOLENCIA,1793.0
2017-Q2,2017,2,ESP,DELITOS CONTRA LIBERTAD SEXUAL,3048.0
2017-Q2,2017,2,ESP,HURTOS,175557.0
2017-Q2,2017,2,ESP,ROBOS CON FUERZA,34405.0
2017-Q2,2017,2,ESP,ROBOS CON VIOLENCIA,14713.0
2017-Q3,2017,3,AND,DELITOS CONTRA LIBERTAD SEXUAL,538.0
2017-Q3,2017,3,AND,HURTOS,27676.0
2017-Q3,2017,3,AND,ROBOS CON FUERZA,5990.0
2017-Q3,2017,3,AND,ROBOS CON VIOLENCIA,2009.0
2017-Q3,2017,3,ESP,DELITOS CONTRA LIBERTAD SEXUAL,3277.0
2017-Q3,2017,3,ESP,HURTOS,192553.0
2017-Q3,2017,3,ESP,ROBOS CON FUERZA,36296.0
2017-Q3,2017,3,ESP,ROBOS CON VIOLENCIA,15823.0
2017-Q4,2017,4,AND,DELITOS CONTRA LIBERTAD SEXUAL,480.0
2017-Q4,2017,4,AND,HURTOS,24295.0
2017-Q4,2017,4,AND,ROBOS CON FUERZA,5713.0
2017-Q4,2017,4,AND,ROBOS CON VIOLENCIA,1914.0
2017-Q4,2017,4,ESP,DELITOS CONTRA LIBERTAD SEXUAL,2700.0
2017-Q4,2017,4,ESP,HURTOS,175646.0
2017-Q4,2017,4,ESP,ROBOS CON FUERZA,39299.0
2017-Q4,2017,4,ESP,ROBOS CON VIOLENCIA,15605.0
2018-Q1,2018,1,AND,DELITOS CONTRA LIBERTAD SEXUAL,499.0
2018-Q1,2018,1,AND,HURTOS,22364.0
2018-Q1,2018,1,AND,ROBOS CON FUERZA,6285.0
2018-Q1,2018,1,AND,ROBOS CON VIOLENCIA,1717.0
2018-Q1,2018,1,ESP,DELITOS CONTRA LIBERTAD SEXUAL,3026.0
2018-Q1,2018,1,ESP,HURTOS,165036.0
2018-Q1,2018,1,ESP,ROBOS CON FUERZA,40265.0
2018-Q1,2018,1,ESP,ROBOS CON VIOLENCIA,14384.0
2018-Q2,2018,2,AND,DELITOS CONTRA LIBERTAD SEXUAL,669.0
2018-Q2,2018,2,AND,HURTOS,24454.0
2018-Q2,2018,2,AND,ROBOS CON FUERZA,5472.0
2018-Q2,2018,2,AND,ROBOS CON VIOLENCIA,1756.0
2018-Q2,2018,2,ESP,DELITOS CONTRA LIBERTAD SEXUAL,3494.0
2018-Q2,2018,2,ESP,HURTOS,175879.0
2018-Q2,2018,2,ESP,ROBOS CON FUERZA,35085.0
2018-Q2,2018,2,ESP,ROBOS CON VIOLENCIA,13897.0
2018-Q3,2018,3,AND,DELITOS CONTRA LIBERTAD SEXUAL,644.0
2018-Q3,2018,3,AND,HURTOS,24941.0
2018-Q3,2018,3,AND,ROBOS CON FUERZA,5668.0
2018-Q3,2018,3,AND,ROBOS CON VIOLENCIA,1837.0
